,date,state,cases,deaths,total_population,num_deaths,mean_temp,precipitation,wind_speed,percent_smokers,percent_adults_with_obesity,percent_insufficient_sleep,state-code
0,2020-01-21,Washington,1,0.0,758649.0,7592.0,44.1,0.0,8.3,12.962308599,28.9,34.783820371,53
1,2020-01-22,Washington,1,0.0,758649.0,7592.0,44.8,0.29,13.2,12.962308599,28.9,34.783820371,53
2,2020-01-23,Washington,1,0.0,758649.0,7592.0,49.9,0.54,12.0,12.962308599,28.9,34.783820371,53
3,2020-01-24,Washington,1,0.0,758649.0,7592.0,51.5,0.32,13.0,12.962308599,28.9,34.783820371,53
4,2020-01-25,Washington,1,0.0,758649.0,7592.0,47.1,0.04,5.0,12.962308599,28.9,34.783820371,53
5,2020-01-26,Washington,1,0.0,758649.0,7592.0,47.4,0.14,8.4,12.962308599,28.9,34.783820371,53
6,2020-01-27,Washington,1,0.0,758649.0,7592.0,47.3,0.13,11.3,12.962308599,28.9,34.783820371,53
7,2020-01-28,Washington,1,0.0,758649.0,7592.0,45.5,0.21,5.3,12.962308599,28.9,34.783820371,53
8,2020-01-29,Washington,1,0.0,758649.0,7592.0,46.8,0.74,9.3,12.962308599,28.9,34.783820371,53
9,2020-01-30,Washington,1,0.0,758649.0,7592.0,39.0,0.12,3.4,12.962308599,28.9,34.783820371,53
10,2020-01-31,Washington,1,0.0,758649.0,7592.0,51.9,0.24,14.7,12.962308599,28.9,34.783820371,53
11,2020-02-01,Washington,1,0.0,758649.0,7592.0,50.7,0.17,17.4,12.962308599,28.9,34.783820371,53
12,2020-02-02,Washington,1,0.0,758649.0,7592.0,35.2,0.14,4.2,12.962308599,28.9,34.783820371,53
13,2020-02-03,Washington,1,0.0,758649.0,7592.0,34.5,0.0,2.2,12.962308599,28.9,34.783820371,53
14,2020-02-04,Washington,1,0.0,758649.0,7592.0,31.7,0.0,2.7,12.962308599,28.9,34.783820371,53
15,2020-02-05,Washington,1,0.0,758649.0,7592.0,38.1,0.75,6.8,12.962308599,28.9,34.783820371,53
16,2020-02-06,Washington,1,0.0,758649.0,7592.0,40.6,1.77,3.9,12.962308599,28.9,34.783820371,53
17,2020-02-07,Washington,1,0.0,758649.0,7592.0,42.6,0.53,6.2,12.962308599,28.9,34.783820371,53
18,2020-02-08,Washington,1,0.0,758649.0,7592.0,44.7,0.53,10.6,12.962308599,28.9,34.783820371,53
19,2020-02-09,Washington,1,0.0,758649.0,7592.0,36.7,0.1,2.5,12.962308599,28.9,34.783820371,53
20,2020-02-10,Washington,1,0.0,758649.0,7592.0,37.6,0.0,2.5,12.962308599,28.9,34.783820371,53
21,2020-02-11,Washington,1,0.0,758649.0,7592.0,36.8,0.0,3.4,12.962308599,28.9,34.783820371,53
22,2020-02-12,Washington,1,0.0,758649.0,7592.0,42.3,0.14,1.6,12.962308599,28.9,34.783820371,53
23,2020-02-13,Washington,1,0.0,758649.0,7592.0,39.6,0.01,3.3,12.962308599,28.9,34.783820371,53
24,2020-02-14,Washington,1,0.0,758649.0,7592.0,41.2,0.45,4.7,12.962308599,28.9,34.783820371,53
25,2020-02-15,Washington,1,0.0,758649.0,7592.0,42.7,0.08,8.3,12.962308599,28.9,34.783820371,53
26,2020-02-16,Washington,1,0.0,758649.0,7592.0,41.1,0.11,5.0,12.962308599,28.9,34.783820371,53
27,2020-02-17,Washington,1,0.0,758649.0,7592.0,39.2,0.03,3.9,12.962308599,28.9,34.783820371,53
28,2020-02-18,Washington,1,0.0,758649.0,7592.0,35.1,0.02,2.7,12.962308599,28.9,34.783820371,53
29,2020-02-19,Washington,1,0.0,758649.0,7592.0,34.8,0.0,2.4,12.962308599,28.9,34.783820371,53
30,2020-02-20,Washington,1,0.0,758649.0,7592.0,37.4,0.0,1.2,12.962308599,28.9,34.783820371,53
31,2020-02-21,Washington,1,0.0,758649.0,7592.0,38.2,0.0,2.8,12.962308599,28.9,34.783820371,53
32,2020-02-22,Washington,1,0.0,758649.0,7592.0,41.9,0.0,5.0,12.962308599,28.9,34.783820371,53
33,2020-02-23,Washington,1,0.0,758649.0,7592.0,42.0,0.18,6.0,12.962308599,28.9,34.783820371,53
34,2020-02-24,Washington,5,0.0,1244508.0,13820.0,38.75,0.355,12.3,13.7281050785,28.45,32.584189466,53
35,2020-02-25,Washington,5,0.0,1244508.0,13820.0,36.15,0.03,4.05,13.7281050785,28.45,32.584189466,53
36,2020-02-26,Washington,5,0.0,1244508.0,13820.0,41.150000000000006,0.005,3.6500000000000004,13.7281050785,28.45,32.584189466,53
37,2020-02-27,Washington,5,0.0,1244508.0,13820.0,42.35,0.0,4.15,13.7281050785,28.45,32.584189466,53
38,2020-02-28,Washington,7,0.0,3324058.0,30546.0,42.0,0.0,4.8999999999999995,12.090418538766665,26.3,31.345681268666667,53
39,2020-02-29,Washington,10,1.0,3324058.0,30546.0,43.86666666666667,0.02666666666666667,12.300000000000002,12.090418538766665,26.3,31.345681268666667,53
40,2020-03-01,Washington,17,3.0,3324058.0,30546.0,37.06666666666666,0.06,4.2,12.090418538766665,26.3,31.345681268666667,53
41,2020-03-02,Washington,23,6.0,3383867.0,31200.0,40.8,0.0275,9.65,12.218378869824999,26.525,30.27053322675,53
42,2020-03-03,Washington,32,10.0,3383867.0,31200.0,47.275,0.16,11.275,12.218378869824999,26.525,30.27053322675,53
43,2020-03-04,Washington,47,11.0,3458628.0,31955.0,46.56,0.026000000000000002,12.0,12.388032066860001,26.54,29.8913601878,53
44,2020-03-05,Washington,75,11.0,3458628.0,31955.0,42.56,0.004,5.24,12.388032066860001,26.54,29.8913601878,53
45,2020-03-06,Washington,86,12.0,4772750.0,46822.0,44.2375,0.2571428571428571,3.9285714285714284,12.853647366412499,27.3125,29.952824449625,53
46,2020-03-07,Washington,110,16.0,4815535.0,47234.0,41.51111111111111,0.0925,5.0,13.009789960811112,27.322222222222223,29.653952971444443,53
47,2020-03-08,Washington,141,19.0,5073023.0,50146.0,38.19,0.14444444444444446,4.988888888888889,12.95576634713,27.65,29.407581819899995,53
48,2020-03-09,Washington,179,22.0,5073023.0,50146.0,37.11,0.007777777777777778,3.477777777777778,12.95576634713,27.65,29.407581819899995,53
49,2020-03-10,Washington,279,24.0,5403227.0,53661.0,38.65,0.0,4.566666666666666,13.043575946441665,27.791666666666668,29.324013152916667,53
50,2020-03-11,Washington,338,29.0,5749651.0,57571.0,45.26428571428572,0.08923076923076922,8.818181818181818,12.927142191092857,28.057142857142857,29.420020581285716,53
51,2020-03-12,Washington,419,32.0,6072536.0,61862.0,40.311764705882354,0.031176470588235295,4.835714285714286,13.239034234664706,29.341176470588238,29.645396710588237,53
52,2020-03-13,Washington,511,37.0,6165066.0,62879.0,38.044444444444444,0.0,4.526666666666667,13.373511596072223,29.616666666666667,29.896391049777776,53
53,2020-03-14,Washington,609,40.0,6185996.0,63204.0,34.4,0.15666666666666668,8.9,13.422863039857896,29.605263157894736,29.960110791842105,53
